run_id,completed_at,employer,role,site,posting_id,region,application_url,adapter_version,operator,source_reference,artifact_sha256,artifact_path,official_posting_inspection_passed,controls_discovered,controls_filled,controls_skipped,controls_blocked,policies_used,uploads_verified,handoff_reason,handoff_boundary,pre_submit_state,final_status,error,notes
github-actions-30309867130-1,2026-07-27T22:14:02.069333+00:00,PointClickCare,(Canada) - Junior Site Reliability Engineer,pointclickcare,218d6a04-8e57-4034-84a8-2393e07f66d0,global,https://jobs.lever.co/pointclickcare/218d6a04-8e57-4034-84a8-2393e07f66d0/apply,1.1.0,github-actions,https://github.com/TheHighBrid/JobTomatik/actions/runs/30309867130,b0227f5ec7351c37f439ee5cac388fe9d47f43410ffa380653a98b6411a7d904,,false,44,8,36,0,0,1,captcha_detected,post_fill_pre_action,manual_challenge_handoff,needs_review,A CAPTCHA or human-verification challenge requires manual completion.,Synthetic manual-challenge boundary coverage; does not advance the Phase A gate.
github-actions-30862050704-ready-d8-003,2026-08-03T23:41:49.437303+00:00,Wave HQ,Group Product Manager,waveapps,e5bb8724-6ee8-49d2-ae4e-1e83c4d61637,global,https://jobs.lever.co/waveapps/e5bb8724-6ee8-49d2-ae4e-1e83c4d61637/apply,1.1.0,TheHighBrid,https://github.com/TheHighBrid/JobTomatik/actions/runs/30862050704,86b145f01e83e01b43053a0bb8d77a956ac176c2459c11dd6f6dc3986214c5e1,lever-phase-a-artifacts/D8-003/lever-phase-a-report.json,True,33,16,17,0,5,1,,,ready_to_submit,dry_run_passed,,Synthetic ready-to-submit dry run; canonical baseline requires separate review.
github-actions-30871406281-ready-d8-005,2026-08-04T02:32:09.614199+00:00,PointClickCare,Principal/Senior Software Engineer,pointclickcare,43defc56-cbc6-4ab2-849d-6269879721dd,global,https://jobs.lever.co/pointclickcare/43defc56-cbc6-4ab2-849d-6269879721dd/apply,1.1.0,github-actions,https://github.com/TheHighBrid/JobTomatik/actions/runs/30871406281,eac751c1a568d751a03c902b8a0a53624a3b4c7016cfddd9263a2f5a9392e9d3,lever-phase-a-artifacts/D8-005/lever-phase-a-report.json,True,55,17,38,0,2,1,,,ready_to_submit,dry_run_passed,,Synthetic ready-to-submit dry run; canonical baseline requires separate review.
github-actions-30871406281-ready-d8-006,2026-08-04T02:32:15.948830+00:00,ShyftLabs,Technical Product Manager,shyftlabs,47fc022e-2ca3-47d1-a829-0d803be93b92,global,https://jobs.lever.co/shyftlabs/47fc022e-2ca3-47d1-a829-0d803be93b92/apply,1.1.0,github-actions,https://github.com/TheHighBrid/JobTomatik/actions/runs/30871406281,53cee650b0a81f7d8e45dcbf498027a2f1719ba94d391e885dfbaff3f6b20fbc,lever-phase-a-artifacts/D8-006/lever-phase-a-report.json,True,14,11,3,0,2,1,,,ready_to_submit,dry_run_passed,,Synthetic ready-to-submit dry run; canonical baseline requires separate review.
github-actions-30871406281-ready-d8-007,2026-08-04T02:32:18.395381+00:00,Caseware,"Product Manager, Growth",caseware,9b1141ff-549e-41b8-87b3-efe950fcbe11,global,https://jobs.lever.co/caseware/9b1141ff-549e-41b8-87b3-efe950fcbe11/apply,1.1.0,github-actions,https://github.com/TheHighBrid/JobTomatik/actions/runs/30871406281,f0134b1190b9d15cb2ba8c2d11e320e37e85743bf61deb1cd80c58606eb44aee,lever-phase-a-artifacts/D8-007/lever-phase-a-report.json,True,15,10,5,0,2,1,,,ready_to_submit,dry_run_passed,,Synthetic ready-to-submit dry run; canonical baseline requires separate review.
github-actions-30871406281-ready-d8-008,2026-08-04T02:32:19.152903+00:00,PolicyMe,Software Engineer (Remote),policyme,98b4ecb9-93c5-43cd-9d29-977232e343a1,global,https://jobs.lever.co/policyme/98b4ecb9-93c5-43cd-9d29-977232e343a1/apply,1.1.0,github-actions,https://github.com/TheHighBrid/JobTomatik/actions/runs/30871406281,62f82c0d639de64de2316fd1563dfc6e4cfd9ff9e6602ae18b53668bd514339b,lever-phase-a-artifacts/D8-008/lever-phase-a-report.json,True,26,14,12,0,1,1,,,ready_to_submit,dry_run_passed,,Synthetic ready-to-submit dry run; canonical baseline requires separate review.
github-actions-30873435977-ready-d8-011,2026-08-04T03:00:29.782625+00:00,Fullscript,Lead Data Scientist - Growth & Experimentation,fullscript,580fdc9a-9565-4a20-a9d6-a552c606fcaa,global,https://jobs.lever.co/fullscript/580fdc9a-9565-4a20-a9d6-a552c606fcaa/apply,1.1.0,github-actions,https://github.com/TheHighBrid/JobTomatik/actions/runs/30873435977,a15b01d59a21fb904221acee0b76d8c1e8722c409d3a1511ef410f0636330013,lever-phase-a-artifacts/D8-011/lever-phase-a-report.json,True,61,18,43,0,8,1,,,ready_to_submit,dry_run_passed,,Synthetic ready-to-submit dry run; canonical baseline requires separate review.
github-actions-30871406281-ready-d8-012,2026-08-04T02:32:55.260952+00:00,Brafton,Account Executive,brafton,1516693a-7a1d-4359-bd2f-4df2b85c68f5,global,https://jobs.lever.co/brafton/1516693a-7a1d-4359-bd2f-4df2b85c68f5/apply,1.1.0,github-actions,https://github.com/TheHighBrid/JobTomatik/actions/runs/30871406281,93fa9b84ca56ba2004c545aa342fdd9bc55859d69749b96ecd2b5a02d1044364,lever-phase-a-artifacts/D8-012/lever-phase-a-report.json,True,19,10,9,0,1,1,,,ready_to_submit,dry_run_passed,,Synthetic ready-to-submit dry run; canonical baseline requires separate review.
github-actions-30871406281-ready-d8-015,2026-08-04T02:32:52.597424+00:00,Achievers,Data Scientist,achievers,0703cb90-a28f-463a-8af6-e5ba84c7756b,global,https://jobs.lever.co/achievers/0703cb90-a28f-463a-8af6-e5ba84c7756b/apply,1.1.0,github-actions,https://github.com/TheHighBrid/JobTomatik/actions/runs/30871406281,27baa7a57f7d6105f3b802aacb0e4c23a4d266a53364e96130d814119dbead4e,lever-phase-a-artifacts/D8-015/lever-phase-a-report.json,True,31,12,19,0,5,1,,,ready_to_submit,dry_run_passed,,Synthetic ready-to-submit dry run; canonical baseline requires separate review.
github-actions-30871406281-ready-d8-017,2026-08-04T02:32:56.017236+00:00,Warner Music Group,Data Scientist,wmg,fb798213-4d68-47b4-8038-c63361e88742,global,https://jobs.lever.co/wmg/fb798213-4d68-47b4-8038-c63361e88742/apply,1.1.0,github-actions,https://github.com/TheHighBrid/JobTomatik/actions/runs/30871406281,31520b3a0b5dfa86f4215e49fbcd8c3eee5b77444a0ed145a175b69c89db2562,lever-phase-a-artifacts/D8-017/lever-phase-a-report.json,True,26,10,16,0,1,1,,,ready_to_submit,dry_run_passed,,Synthetic ready-to-submit dry run; canonical baseline requires separate review.
github-actions-30871406281-ready-d8-021,2026-08-04T02:33:13.825221+00:00,US Mobile,Lead Security Engineer (Fraud),USMobile,9e9139ce-63a5-4c4f-948a-00fba2a07dc4,global,https://jobs.lever.co/USMobile/9e9139ce-63a5-4c4f-948a-00fba2a07dc4/apply,1.1.0,github-actions,https://github.com/TheHighBrid/JobTomatik/actions/runs/30871406281,4898bfbc0d852da89044a7b0d0f61849f309ab4237f7b5ac1a91073dbd43a247,lever-phase-a-artifacts/D8-021/lever-phase-a-report.json,True,20,12,8,0,2,1,,,ready_to_submit,dry_run_passed,,Synthetic ready-to-submit dry run; canonical baseline requires separate review.
github-actions-30873435977-ready-d8-022,2026-08-04T03:00:44.673277+00:00,CSC Generation,Staff Data Scientist - Pricing Science,cscgeneration-2,9567b1eb-f32b-4734-a673-476f0262179e,global,https://jobs.lever.co/cscgeneration-2/9567b1eb-f32b-4734-a673-476f0262179e/apply,1.1.0,github-actions,https://github.com/TheHighBrid/JobTomatik/actions/runs/30873435977,1c853d43d123b0bdd9619851d6638a2d1afcb5da4764c46d58ffd2bffbf322d2,lever-phase-a-artifacts/D8-022/lever-phase-a-report.json,True,38,14,24,0,3,1,,,ready_to_submit,dry_run_passed,,Synthetic ready-to-submit dry run; canonical baseline requires separate review.
github-actions-30871406281-ready-d8-023,2026-08-04T02:33:27.431449+00:00,APPLY,Product Design Lead,applydigital,2d2f965e-f9dc-42ac-8cd3-3fd7b53993f6,global,https://jobs.lever.co/applydigital/2d2f965e-f9dc-42ac-8cd3-3fd7b53993f6/apply,1.1.0,github-actions,https://github.com/TheHighBrid/JobTomatik/actions/runs/30871406281,fb7982534b383b065ece0a47eab8a3f3d0341d0c910118b22d34bd2186355157,lever-phase-a-artifacts/D8-023/lever-phase-a-report.json,True,14,10,4,0,2,1,,,ready_to_submit,dry_run_passed,,Synthetic ready-to-submit dry run; canonical baseline requires separate review.
github-actions-30871406281-ready-d8-026,2026-08-04T02:33:35.556604+00:00,Cin7,Customer Success Manager,cin7,7d4a0f39-7771-4d19-b328-e8705cac1623,global,https://jobs.lever.co/cin7/7d4a0f39-7771-4d19-b328-e8705cac1623/apply,1.1.0,github-actions,https://github.com/TheHighBrid/JobTomatik/actions/runs/30871406281,b0b7b9ec02fcfbf2e7b0704b42df84a011b30666d9d58f1312f70f24e0c32538,lever-phase-a-artifacts/D8-026/lever-phase-a-report.json,True,18,12,6,0,1,1,,,ready_to_submit,dry_run_passed,,Synthetic ready-to-submit dry run; canonical baseline requires separate review.
github-actions-30871406281-ready-d8-028,2026-08-04T02:33:44.148986+00:00,PocketHealth,Customer Success Manager,PocketHealth,b7c95155-37e5-4a9f-b1fb-be00710c1820,global,https://jobs.lever.co/PocketHealth/b7c95155-37e5-4a9f-b1fb-be00710c1820/apply,1.1.0,github-actions,https://github.com/TheHighBrid/JobTomatik/actions/runs/30871406281,2e766993ef5da4f5e7053416a4ea5d47eab99057d2a2a61617680b130967765a,lever-phase-a-artifacts/D8-028/lever-phase-a-report.json,True,34,14,20,0,3,1,,,ready_to_submit,dry_run_passed,,Synthetic ready-to-submit dry run; canonical baseline requires separate review.
github-actions-30871406281-ready-d8-029,2026-08-04T02:33:57.245627+00:00,HappyCo,Senior Product Designer,happyco,cae68d58-cc05-4d2e-8828-19ccaebfb201,global,https://jobs.lever.co/happyco/cae68d58-cc05-4d2e-8828-19ccaebfb201/apply,1.1.0,github-actions,https://github.com/TheHighBrid/JobTomatik/actions/runs/30871406281,c7407aad24088fddf75945ec8bb941778989e62ad099f44c22b230ad892a9dbb,lever-phase-a-artifacts/D8-029/lever-phase-a-report.json,True,28,15,13,0,3,1,,,ready_to_submit,dry_run_passed,,Synthetic ready-to-submit dry run; canonical baseline requires separate review.
